Date,Predicted_Price
2025-07-27,114429.58057095855
2025-07-28,115767.85213988833
2025-07-29,115559.26544081233
2025-07-30,115720.69530776516
2025-07-31,115554.08530755714
2025-08-01,115526.63412520476
2025-08-02,115838.92920638993
2025-08-03,116675.14366978593
2025-08-04,116745.67100786045
2025-08-05,117052.37718337029
2025-08-06,117074.97243128344
2025-08-07,117059.83375613764
2025-08-08,116958.83877716213
2025-08-09,116795.24523550272
2025-08-10,116646.19835375994
2025-08-11,117194.28464336134
2025-08-12,117186.04576475546
2025-08-13,116924.22702965699
2025-08-14,116928.2583714556
2025-08-15,117022.77642191201
2025-08-16,116993.70424547978
2025-08-17,116580.97096154653
2025-08-18,116478.34794069082
2025-08-19,116597.77996537462
2025-08-20,116678.0050767269
2025-08-21,116597.72358297184
2025-08-22,116839.9987677075
2025-08-23,116737.66470666602
2025-08-24,116729.83460048027
2025-08-25,117362.05048282631
2025-08-26,117339.01122349128
2025-08-27,116722.51193591952
2025-08-28,117306.07685246877
2025-08-29,117629.25373739004
2025-08-30,117672.44970571809
2025-08-31,117500.41994704306
2025-09-01,117828.65715261362
2025-09-02,118080.41867661662
2025-09-03,118035.18589398824
2025-09-04,117882.516442867
2025-09-05,117980.19190787897
2025-09-06,118182.78092885949
2025-09-07,118208.66749953479
2025-09-08,118164.79494237341
2025-09-09,118158.62106926925
2025-09-10,118108.06014957838
2025-09-11,118078.0858547017
2025-09-12,117964.57398230955
2025-09-13,117956.6099679172
2025-09-14,117770.44232174568
2025-09-15,117569.28400423564
2025-09-16,117213.44056470506
2025-09-17,116882.58157740533
2025-09-18,116623.26481143013
2025-09-19,116480.1521775797
2025-09-20,116173.05837305076
2025-09-21,115744.90450195782
2025-09-22,115787.0010134317
2025-09-23,115951.65877294354
2025-09-24,116517.57599742338
